timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5
0.0 0.0 1.0 2.0 3.0 4.0 5.0 0.0 1.0 2.0 3.0 4.0 5.0 
1.0 1.0 2.0 3.0 4.0 5.0 6.0 1.0 2.0 3.0 4.0 5.0 6.0 
2.0 2.0 3.0 4.0 5.0 6.0 7.0 2.0 3.0 4.0 5.0 6.0 7.0 
3.0 3.0 4.0 5.0 6.0 7.0 8.0 3.0 4.0 5.0 6.0 7.0 8.0 
4.0 4.0 5.0 6.0 7.0 8.0 9.0 4.0 5.0 6.0 7.0 8.0 9.0 
5.0 5.0 6.0 7.0 8.0 9.0 10.0 5.0 6.0 7.0 8.0 9.0 10.0 
6.0 6.0 7.0 8.0 9.0 10.0 11.0 6.0 7.0 8.0 9.0 10.0 11.0 
7.0 7.0 8.0 9.0 10.0 11.0 12.0 7.0 8.0 9.0 10.0 11.0 12.0 
8.0 8.0 9.0 10.0 11.0 12.0 13.0 8.0 9.0 10.0 11.0 12.0 13.0 
9.0 9.0 10.0 11.0 12.0 13.0 14.0 9.0 10.0 11.0 12.0 13.0 14.0 
